id;debut;fin;titre;categorie;description;precision;duree;type;source;source_complementaire;precision_fin;source_fin;note_dates
juges-cadre;-1473;-1117;De l’entrée en Canaan à la royauté;Juges et libérateurs;Cadre historique dans lequel s’inscrit l’époque des juges.;année;356 ans;Cadre chronologique;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;année;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;"1473 correspond à l’entrée en Canaan ; 1117 au début de la royauté de Saül. Ce cadre inclut la conquête et ne représente pas le mandat d’un juge. Certaines judicatures et oppressions se chevauchent."
juges-otniel;;;Otniel;Juges et libérateurs;Juge et libérateur mentionné en Juges 3:9-11.;non_datee;40 ans de calme après la délivrance;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/3/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;Juges 3:11 décrit une période de calme, puis la mort d’Otniel. Début et fin non datés.
juges-ehoud;;;Éhoud;Juges et libérateurs;Libérateur d’Israël mentionné en Juges 3.;non_datee;80 ans de calme après la délivrance;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/3/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;"Les 80 ans de Juges 3:30 sont une période de calme ; ils ne sont pas présentés ici comme 80 ans de fonction personnelle. Début et fin non datés."
juges-shamgar;;;Shamgar;Juges et libérateurs;Libérateur d’Israël mentionné en Juges 3:31.;non_datee;Non précisée;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/3/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;Début et fin non datés.
juges-deborah;;;Déborah;Juges et libérateurs;Prophétesse qui rendait la justice en Israël (Juges 4:4-5).;non_datee;Durée personnelle non précisée;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/4/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/5/;;;Les 40 ans de calme de Juges 5:31 concernent le pays après la délivrance associée à Déborah et Barak, pas un mandat daté de Déborah. Début et fin non datés.
juges-barak;;;Barak;Juges et libérateurs;Chef associé à Déborah dans la délivrance d’Israël.;non_datee;40 ans de calme après la délivrance;Libérateur;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/4/;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/5/;;;"Même période de calme que celle évoquée dans la fiche de Déborah ; ne pas la compter deux fois. Début et fin non datés."
juges-gedeon;;;Gédéon;Juges et libérateurs;Libérateur aussi appelé Jeroubaal.;non_datee;40 ans de calme à son époque;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/8/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;Juges 8:28 situe 40 ans de calme à l’époque de Gédéon. Début et fin non datés.
juges-tola;;;Tola;Juges et libérateurs;Juge de la tribu d’Issachar, établi à Shamir.;non_datee;23 ans comme juge;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/10/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;Durée indiquée en Juges 10:1-2. Début et fin non datés.
juges-jair;;;Jaïr;Juges et libérateurs;Juge galaadite.;non_datee;22 ans comme juge;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/10/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;Durée indiquée en Juges 10:3-5. Début et fin non datés.
juges-jephte;-1173;;Jephté;Juges et libérateurs;Juge de Galaad.;vers;6 ans comme juge;Début de judicature;https://wol.jw.org/fr/wol/d/r30/lp-f/1200002413;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/12/;;;"L’article Yiphtah situe approximativement le début en 1173 ; Juges 12:7 donne six ans de fonction. La fin n’est pas datée explicitement dans la source : elle reste vide plutôt que de transformer un calcul en date publiée."
juges-ibzan;;;Ibzân;Juges et libérateurs;Juge originaire de Bethléem, mentionné après Jephté.;non_datee;7 ans comme juge;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/12/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;Durée indiquée en Juges 12:8-10. Début et fin non datés.
juges-elon;;;Élôn;Juges et libérateurs;Juge de la tribu de Zabulon.;non_datee;10 ans comme juge;Juge;https://www.jw.org/fr/biblioth%C3%A8que/bible/bible-d-etude/livres/juges/12/;https://www.jw.org/fr/biblioth%C3%A8que/livres/%C3%89tude-perspicace-des-%C3%89critures/Chronologie/;;;Durée indiquée en Juges 12:11-12. Début et fin non datés.
