id;debut;fin;titre;categorie;description;precision;duree;type;source;source_complementaire;precision_fin;source_fin;note_dates
prophetes-isaie;-778;-732;Isaïe;Prophètes;Ministère attesté. Voir les précisions chronologiques ci-dessous.;vers;Au moins 46 ans;Ministère attesté;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990084;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;apres;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990084;"Début vers 778, peut-être plus tôt ; activité poursuivie après 732. Les bornes sont des repères documentaires : 732 ne marque ni son décès ni la fin certaine de son ministère."
prophetes-jeremie;-647;-580;Jérémie;Prophètes;Période documentée. Voir les précisions chronologiques ci-dessous.;année;;Période documentée;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990085;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990085;Mission reçue en 647. Le récit et la rédaction du livre vont jusqu’en 580. Cette dernière date est un repère documentaire, pas une date de décès ni une cessation attestée du ministère.
prophetes-ezechiel;-613;-591;Ézéchiel;Prophètes;Ministère documenté. Voir les précisions chronologiques ci-dessous.;année;;Ministère documenté;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990087;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990087;"Établi prophète en 613 ; période du livre jusqu’à environ 591. La dernière borne ne constitue pas une date connue de décès."
prophetes-daniel;-618;-536;Daniel;Prophètes;Période du récit et des visions. Voir les précisions chronologiques ci-dessous.;année;;Période du récit et des visions;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990088;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990088;618 est le début du cadre narratif du livre, pas une nomination datée comme prophète. Les visions vont jusqu’à environ 536. Ces dates ne sont pas celles de sa naissance et de sa mort.
prophetes-osee;-804;-745;Osée;Prophètes;Ministère attesté. Voir les précisions chronologiques ci-dessous.;avant;Au moins 59 ans;Ministère attesté;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990089;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;apres;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990089;"L’activité commence avant 804 et se poursuit après 745. Les deux années servent de limites de référence ; la durée réelle dépasse l’intervalle tracé."
prophetes-joel;-820;;Joël;Prophètes;Repère de rédaction. Voir les précisions chronologiques ci-dessous.;vers_incertain;;Repère de rédaction;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990090;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;;;"La source propose environ 820 avec un point d’interrogation. Début et fin du ministère non précisés ; aucune période artificielle n’est tracée."
prophetes-amos;-804;;Amos;Prophètes;Repère de rédaction. Voir les précisions chronologiques ci-dessous.;vers;;Repère de rédaction;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990091;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;;;Environ 804 correspond à la rédaction du livre. La source situe le commencement de son activité quelque part entre 829 et environ 804, sans établir la durée du ministère. Ces deux bornes ne sont pas un début et une fin de carrière.
prophetes-abdias;-607;;Abdias;Prophètes;Repère de rédaction. Voir les précisions chronologiques ci-dessous.;vers;;Repère de rédaction;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990092;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;;;Environ 607 est la date proposée pour la rédaction. La source ne donne pas les dates de début et de fin de son ministère.
prophetes-jonas;-844;;Jonas;Prophètes;Repère de rédaction. Voir les précisions chronologiques ci-dessous.;vers;;Repère de rédaction;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990093;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;;;Environ 844 est un repère de rédaction du livre, pas une durée de ministère. Début et fin de l’activité non établis dans cette entrée.
prophetes-michee;-777;-717;Michée;Prophètes;Cadre chronologique. Voir les précisions chronologiques ci-dessous.;vers;;Cadre chronologique;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990094;https://wol.jw.org/fr/wol/d/r30/lp-f/1001070071;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1101990094;Le tableau situe le texte vers 777–717. L’article précise que la durée exacte de la carrière est inconnue : ces bornes encadrent les règnes concernés et ne prouvent pas un ministère continu de 60 ans. Le livre a été achevé avant 717.
