id;debut;fin;titre;categorie;description;precision;duree;type;source;source_complementaire;precision_fin;source_fin;note_dates
reperes-univers;;;Création de l’univers;Grands repères;Aucune année de commencement indiquée dans la Bible.;non_datee;;Événement;https://www.jw.org/fr/la-bible-et-vous/questions-bibliques/jours-de-creation-univers/;;;;Ne pas confondre la création de l’univers avec celle d’Adam.
reperes-jours-creation;;;Les six jours de création;Grands repères;Périodes de création dont les bornes calendaires ne sont pas précisées.;non_datee;;Événement;https://www.jw.org/fr/la-bible-et-vous/questions-bibliques/jours-de-creation-univers/;;;;La source ne les présente pas comme six journées de 24 heures.
reperes-adam;-4026;-3096;Adam;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-henoch;-3404;-3039;Hénoch;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-noe;-2970;-2020;Noé;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-abraham;-2018;-1843;Abraham;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-sara;-2008;-1881;Sara;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-rebecca;-1900;-1775;Rébecca;Personnages;;vers;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-jacob;-1858;-1711;Jacob;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-joseph;-1767;-1657;Joseph;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-moise;-1593;-1473;Moïse;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;année;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-caleb;-1552;-1450;Caleb;Personnages;;année;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
reperes-josue;-1560;-1450;Josué;Personnages;;vers;;Vie;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;;vers;https://wol.jw.org/fr/wol/d/r30/lp-f/1102025962;Période de vie. Les dates marquées « vers » sont approximatives.
